layer_order,layer_name,theoretical_identity,current_implementation,storage_location,materialized_status,gap_or_risk
0,External Input / Reality Envelope,"External real/source envelope: downloaded data, physical/simulation/sensor source",CTC 2D source inventory and source_data_inventory,source archive + source_data_inventory,materialized,2D external source is not full 3D electromechanical sphere
1,Stage 1 Physical / Source Substrate,Bottom electromechanical cell-sphere / physical source substrate,legacy physical loop plus v25/v34 evidence base and source boundary,base DB + runtime_store,partially materialized,current chain may use 2D external source as peer substitute
2,Stage 2 Object Surface / Candidate Machinery,"O candidate, object surface, P/R candidate machinery",trajectory_to_o_pr_r_xin O/P/R/Xin records,base/materialized DB,partially materialized,possible bypass by evidence-to-P/R/Xin direct chain
3,T/O/P/R/Xin Core Recursion,Trace/Transport -> O -> P/R -> masking/counter-evidence -> Xi,"v25 P/R/Xi measures, v35 attention, v36.x Xin_var/R-band",base + overlays,materialized,cross-layer FK still incomplete at upper overlays
4,Information Point 3D/4D Backprojection,"Information point backprojection into t,x,y,z/cell-sphere/origin-relative evidence audit",information_point_3d4d_backprojection,m365_full_chain_materialized.db,materialized,2D source has z=0 but 4D schema with time is explicit
5,Counter-evidence and Masking Layer,"R-chain, masking proposal, precision gate and appeal/momentum",counter_evidence_chain_materialized + masking_layer_materialized + v35 attention,materialized DB + v35 overlay,materialized,must not let masking delete evidence
6,Storage and Materialization System,SQLite ledger/index/audit + runtime_store payload + sparse sidecar + materialized index,"per-version DBs, runtime_store inventory, materialized DB",DB + sidecar files,materialized,needs object lineage map and stable process_window
7,External Entropy / Proxy Governance,"External ledger, proxy/meta-proxy, runtime guard, noether audit",external_entropy_ledger_materialized + v34/v34.1 concepts,m34/base/materialized,materialized_summary,"ledger is auditor, not optimizer/truth"
8,Attention / Hypergraph / Variational Upper Layers,"v35 attention, v35H incidence, v36.x action/R-band/coupler, v36.5 readout",attention/hyperedge/variational/band/carrier materialized tables,overlay DBs + materialized DB,materialized,upper layers need stricter source backprojection
9,v36.6 Process Window Layer,New mainline working unit: information/time/support/process/envelope/ledger,v366_process_window_registry and members,m366_process_window.db,newly built,"initial version uses direct + inferred links, not all hard FK"
10,v36.6 Hypernode Spacetime Backprojection,Audit bridge from hypernodes to information point / trajectory / spacetime cell / P/R/Xi,v366_hypernode_spacetime_backprojection,m366_process_window.db,newly built,"most v35H links are proxy/inferred, explicitly labelled"
15,Preneural / Interface Bundle,"Shared Stage1/Stage2 interface: information_fiber, preneural carrier, transport/afferent edge",preneural_materialized + legacy preneural/device-neutral edges,m365_full_chain_materialized.db,materialized_summary_only,needs stronger operator trace indexing
