concept_id,version,concept,placement_class,intended_role,maturity_level,maturity_rank,evidence_db,evidence_table,row_count,algorithmic_computation,native_run_generated,materialized_integration,external_module,test_operability,advisory_only,directness_status,confidence,current_limit,next_action,notes
empirical_stress_suite,future,perturbation/control stress suite for strong R/Xin/novelty,test_operability_surface,stress-test P/R/Xin separation under abnormal cases,BLUEPRINT_ONLY,0,,,0,0,0,0,0,1,0,not implemented,high,current dataset is stable/low-R/low-Xin,,
full_external_xin_taxonomy,future,full external Xin taxonomy/capacity/PDE-ghost/leakage module,external_module,richer external readout families and conflict governance,SCHEMA_ONLY,1,m365.db,v365_external_xin_definition_ref,6,0,0,0,1,0,0,minimal definitions only,medium,only 6 definitions and 31 readouts in current package,expand only as external readout module,
native_full_chain_runtime,future,native full-chain runtime skeleton,future_runtime,single run_id native flow from source to readout,BLUEPRINT_ONLY,0,,,0,0,0,0,0,0,0,not implemented in current package,high,"current run is materialized integration, not native synchronous runtime",design separate skeleton if required,
native_hypergraph_db,future,native hypergraph database,forbidden_overclaim,replace sparse SQLite sidecar with primary hypergraph DB,BLUEPRINT_ONLY,0,,,0,0,0,0,0,0,0,not implemented and not currently recommended,high,"v35H requires logical hypergraph index, not DB migration",,
online_life_runtime,future,online life-like runtime / synchronous external modules,future_runtime,continuous online source-driven life runtime,BLUEPRINT_ONLY,0,,,0,0,0,0,0,0,0,not current goal,high,not implemented and not required for current full-chain full-data materialization,,
true_pde_continuous_field,future,true continuous field / PDE solver / real nonlocal spacetime,forbidden_overclaim,strict continuous physics implementation,BLUEPRINT_ONLY,0,,,0,0,0,0,0,0,0,explicitly not claimed,high,"blueprints require proxy/downgrade, not real PDE/nonlocal physics",,
information_fiber,legacy-v25,information fiber,core_interface,source-to-information carrier before higher decomposition,DATA_POPULATED,3,m25.db,information_fiber,500,0,0,1,0,0,0,base rows,medium,,,
physical_stage1,legacy-v25,Stage 1 physical/source substrate,core_source_substrate,physical/electromechanical or external physical-source substrate,DATA_POPULATED,3,m25.db,spacetime_cell,500,0,0,1,0,0,0,legacy/base rows + external 2D source substitute,medium,not full 3D electromechanical live sphere in current run,separate external 2D source route from full electromechanical route,
stage2_object_surface,legacy-v25/pass8,Stage 2 object surface / early-neural simulation layer,optional_core_route,legacy object-surface/O-candidate simulation layer,DATA_POPULATED,3,m25.db,o_candidate_surface,18,0,0,1,0,0,0,legacy partial direct rows,medium,legitimate bypass in current architecture; not mandatory route,report route status rather than treating bypass as failure,
native_writer_contract,pass7 advisory,native writer contract / direct FK upgrade plan,advisory_engineering_suggestion,future guidance to reduce inference and enable native full-chain run skeleton,MATERIALIZED_INDEX,2,v366/m366_build_pass7.db,pass7_native_write_contract,7,0,0,1,0,0,1,"advisory only, not blueprint core",medium,should not be presented as v36.6 blueprint requirement,,
preneural_interface,v0.2-v25/pass3,preneural interface bundle,materialized_full_chain_data,shared interface between physical/source layer and T/O/P/R/Xin-like neural substrate,DATA_POPULATED,3,m25.db,preneural_node_state,2500,0,0,1,0,0,0,base rows; process_window supplement added later,medium,not every current process_window is originally written by preneural writer,"keep as optional interface trace, not external module",
storage_ledger_split,v1.0-v36.6,SQLite ledger/index + runtime_store payload split,storage_system,keeps DB as index/audit and sidecar as payload,DATA_POPULATED,3,v366/m365_full_chain_materialized.db,runtime_store_inventory,146,0,0,1,0,0,0,inventory materialized,high,,,
coord_transform,v25,coordinate transform trace / 3D-4D backprojection anchor,materialized_full_chain_data,keeps coordinate audit while allowing coordinate-hidden mainline,NATIVE_RUN_GENERATED,5,m25.db,coordinate_transform_trace_v25,4575,1,1,0,0,0,0,direct information point to coordinate trace,high,,,
evidence_bundle,v25,decision evidence bundle,materialized_full_chain_data,"binds source points, transforms, recipes, P/R/Xi measures",NATIVE_RUN_GENERATED,5,m25.db,decision_evidence_bundle_v25,532,1,1,0,0,0,0,direct evidence bundle,high,,,
info_point,v25,information point store,materialized_full_chain_data,raw observed information events from source,NATIVE_RUN_GENERATED,5,m25.db,information_point_v25,4575,1,1,0,0,0,0,direct source rows,high,,preserve as bottom anchor,
o_candidate,v25,O candidate support,blueprint_core,non-semantic support/object candidate for P/R/Xin judgment,NATIVE_RUN_GENERATED,5,m25.db,o_candidate_record,18,1,1,0,0,0,0,legacy direct rows; v25 O refs also exist in trajectory profiles,medium,small legacy O surface count; current O refs often v25-derived,,
trajectory_window,v25,trajectory / T window trace,blueprint_core/materialized_data,turns points into process/time/support windows,NATIVE_RUN_GENERATED,5,m25.db,trajectory_window_trace_v25,532,1,1,0,0,0,0,direct v25 evidence window,high,,,
masking_layer,v25/v35/pass2,masking / counter-evidence shielding layer,blueprint_core,separates masked/noisy/challenger contexts before attention/readout,DATA_POPULATED,3,m35.db,v35_masking_proposal,16,1,0,1,0,0,0,partial direct; template/category bindings added later,medium,coverage is not one concrete mask object per R-chain,add concrete mask object when needed,
r_counter,v25/v35/v36.3,R counter-measure and counter-evidence chain,blueprint_core,separates counterstructure and challengers to P,NATIVE_RUN_GENERATED,5,m25.db,r_counter_measure_v25,532,1,1,0,0,0,0,direct v25 R measure; v35 R chain materialized separately,high,,,
xi_residual,v25/v36.2/v36.5,Xi/Xin residual surface,blueprint_core,unclosed residual carrier before external readout,NATIVE_RUN_GENERATED,5,m25.db,xi_residual_surface_v25,532,1,1,0,0,0,0,direct v25 Xi surface rows,high,,,
p_support,v25/v36.3,P stable/positive support measure,blueprint_core,"relative stasis / stable support under window, scale, ledger constraints",NATIVE_RUN_GENERATED,5,m25.db,p_spacetime_measure_v25,532,1,1,0,0,0,0,direct v25 P measure rows,high,,,
src_envelope,v25/v36.5,external/source input envelope,core_boundary,provides source or external reality envelope for offline full-chain run,DATA_POPULATED,3,v366/m365_full_chain_materialized.db,source_data_inventory,1,0,0,1,0,0,0,source inventory materialized,high,"offline source/envelope, not live runtime sensorium",add native run_id for future full-chain skeleton,
external_entropy_ledger,v34,external entropy / equivalent energy ledger,core_governance_ledger,ledger-level energy/dissipation/noise/anomaly accounting,NATIVE_RUN_GENERATED,5,m34.db,v34_external_entropy_event,4489,1,1,0,0,0,0,direct v34 ledger rows,high,"ledger energy is proxy, not joule/physical energy",,
noether_audit,v34,Noether-style balance audit,core_governance_ledger,closure/symmetry-style audit for ledger accounting,NATIVE_RUN_GENERATED,5,m34.db,v34_noether_balance_audit,520,1,1,0,0,0,0,direct v34 rows,high,not proof of physical law,,
v34_proxy_dependency,v34,proxy dependency/proagation/drift audit,core_governance,tracks proxy propagation and drift across downstream objects,NATIVE_RUN_GENERATED,5,m34.db,v34_proxy_propagation_path,4489,1,1,0,0,0,0,direct v34 rows,high,,,
v34_proxy_registry,v34,proxy registry,core_governance,"marks proxy identity, source, forbidden interpretation",NATIVE_RUN_GENERATED,5,m34.db,v34_proxy_registry,15,1,1,0,0,0,0,direct v34 rows,high,,,
v34_1_meta_proxy,v34.1,meta-proxy governance / runtime guard hardening,core_governance,governance of ledger/proxy parameters and runtime guard boundaries,MATERIALIZED_INDEX,2,m34.db,v34_differentiable_proxy_subgraph,3,0,0,1,0,0,0,partial v34 tables; no separate v34.1 DB in audited package,medium,v34.1 appears as blueprint/partial hardening rather than separate full DB,do not overclaim as complete runtime hardening,
v35_attention,v35,attention proposal/path integral governance,blueprint_core,allocates cognitive resources under ledger audit,NATIVE_RUN_GENERATED,5,m35.db,v35_attentional_path_integral_audit,120,1,1,0,0,0,0,direct v35 overlay rows,high,attention is not action authorization,,
v35_attention_regions,v35,attention tension / region index,blueprint_core,selects regions from P/R/Xi/anomaly/masking tensions,NATIVE_RUN_GENERATED,5,m35.db,v35_attention_tension_map,160,1,1,0,0,0,0,direct v35 rows,high,,,
v35h_appeal_gc,v35H,hyperedge appeal and GC governance,blueprint_core,keeps rejected/recurrent hyperedges appealable and sidecar bounded,DATA_POPULATED,3,m35H.db,v35h_hyperedge_appeal_registry,10,1,1,0,0,0,0,direct v35H rows,medium,,,
v35h_hyperedge,v35H,hyperedge incidence sidecar,blueprint_core,sparse high-order binding of P/R/Xi/attention/ledger/proxy event participants,NATIVE_RUN_GENERATED,5,m35H.db,v35h_hyperedge_incidence,855,1,1,0,0,0,0,direct v35H incidence; bottom backprojection mostly inferred,high,"logical hypergraph sidecar, not primary hypergraph DB",,
v36_curvature_proxy,v36,curvature / singularity / heat-bath proxy,blueprint_core,flags local curvature-like residual pressure and heat-bath routing,NATIVE_RUN_GENERATED,5,m36.db,v36_curvature_proxy,120,1,1,0,0,0,0,direct v36 rows,medium,not Ricci curvature,,
v36_dissipative_source,v36,steady dissipative source registry,blueprint_core,identifies stable recursive nodes as ledger-level dissipative-source candidates,NATIVE_RUN_GENERATED,5,m36.db,v36_dissipative_source_registry,80,1,1,0,0,0,0,direct v36 rows,high,not physical heat source,,
v36_metric_proxy,v36,information-energy metric proxy,blueprint_core,relationship measure combining information track and ledger cost,NATIVE_RUN_GENERATED,5,m36.db,v36_information_energy_metric_proxy,160,1,1,0,0,0,0,direct v36 rows,high,not physical metric,,
v361_variational_measure,v36.1,variational external ledger measure,blueprint_core,evaluates information-spacetime paths under ledger action proxy,NATIVE_RUN_GENERATED,5,m361.db,v361_action_scoring_report,120,1,1,0,0,0,0,direct v36.1 rows,high,not real physical action,,
v362_action_revision,v36.2,S_IE_proxy action revision and Xin_var,blueprint_core,"top-k action scoring, stationarity defect, Xin_var closure defect",NATIVE_RUN_GENERATED,5,m362.db,v362_discrete_action_score,120,1,1,0,0,0,0,direct v36.2 rows,high,minimum action score != truth,,
v362_xin_var,v36.2,Xin_var closure defect,blueprint_core,variational closure defect distinct from Delta-Xin fallback,NATIVE_RUN_GENERATED,5,m362.db,v362_xin_var_closure_defect,120,1,1,0,0,0,0,direct v36.2 rows,high,,,
v363_r_band,v36.3,R spacetime band / pseudo-continuity,blueprint_core,constructs cross-scale spacetime band for R continuity proposals,NATIVE_RUN_GENERATED,5,m363.db,v363_r_spacetime_band_candidate,90,1,1,0,0,0,0,direct v36.3 rows,high,"pseudo-continuity only, not true continuous manifold",,
v363_xin_noncontinuity,v36.3,Xin noncontinuity ledger,blueprint_core,keeps residual that cannot be continuous but cannot be deleted,NATIVE_RUN_GENERATED,5,m363.db,v363_xin_noncontinuity_ledger,50,1,1,0,0,0,0,direct v36.3 rows,medium,,,
v364_beam_triage,v36.4,dynamic beam state and Xin triage,blueprint_core,keeps constrained search and Xin triage policies,NATIVE_RUN_GENERATED,5,m364.db,v364_dynamic_beam_state,600,1,1,0,0,0,0,direct v36.4 rows,high,,,
v364_coupler,v36.4,constrained variational coupler,blueprint_core,beam/coupler/R-band/Xin triage decisions under constraints,NATIVE_RUN_GENERATED,5,m364.db,v364_variational_coupling_cost,120,1,1,0,0,0,0,direct v36.4 rows,high,,,
v365_backwrite_blocker,v36.5,readout backwrite blocker,core_boundary_guard,blocks semantic readout writing back into mainline,NATIVE_RUN_GENERATED,5,m365.db,v365_readout_backwrite_block_event,4,1,1,0,0,0,0,direct blocker rows,high,,,
v365_external_readout,v36.5,external Xin definition and readout-only module,external_module,external definitions/readout with no mainline backwrite,NATIVE_RUN_GENERATED,5,m365.db,v365_external_semantic_readout_result,31,1,1,0,1,0,0,direct v36.5 readout rows,high,"minimal external module, not full taxonomy",,
v365_semantic_stripping,v36.5,semantic stripping / semantic null contract,blueprint_core,keeps upper recursion semantic-free and readout external,NATIVE_RUN_GENERATED,5,m365.db,v365_upper_recursion_semantic_null_contract,9,1,1,0,0,0,0,direct v36.5 rows,high,,,
v365_xin_carrier,v36.5,minimal Xin carrier state,blueprint_core,mainline carrier without semantic definition,NATIVE_RUN_GENERATED,5,m365.db,v365_xin_minimal_carrier_state,31,1,1,0,0,0,0,direct v36.5 rows; source refs partly direct/incomplete,high,,,
v366_coordinate_nonlocal_audit,v36.6,coordinate-nonlocal proxy audit,test_operability_surface,sample coordinate-far/process-linked relations for inspection,MATERIALIZED_INDEX,2,v366/m366_process_window_pass3.db,v366_coordinate_nonlocal_proxy_audit,50,0,0,1,0,1,0,proxy audit examples,medium,,,
v366_hypernode_backprojection,v36.6,hypernode spacetime backprojection,materialized_full_chain_data,audits whether high-order hypernodes can be projected to spacetime/evidence anchors,MATERIALIZED_INDEX,2,v366/m366_process_window_pass3.db,v366_hypernode_spacetime_backprojection,855,0,0,1,0,0,0,"mostly inferred/proxy, not raw direct FK",medium,not full direct evidence linkage,keep directness label explicit,
v366_ledger_binding,v36.6,process_window ledger binding,blueprint_core,binds process windows to external ledger references,MATERIALIZED_INDEX,2,v366/m366_process_window_pass3.db,v366_process_window_ledger_binding,791,0,0,1,0,0,0,materialized integration mapping,high,,,
v366_measure_binding,v36.6,coordinate-hidden measure binding,blueprint_core,keeps coordinate-hidden mainline while preserving raw coordinate audit,MATERIALIZED_INDEX,2,v366/m366_process_window_pass3.db,v366_process_window_measure_binding,893,0,0,1,0,0,0,materialized integration mapping,high,,,
v366_process_hyperedge_relation,v36.6,process/hyperedge spacetime relation,blueprint_core,coordinate-nonlocal but process/ledger-linked relation audit,MATERIALIZED_INDEX,2,v366/m366_process_window_pass3.db,v366_hyperedge_spacetime_relation,2625,0,0,1,0,0,0,derived relation audit,medium,,,
v366_process_members,v36.6,process_window members,blueprint_core,binds information/measure/ledger/hyperedge/readout members into windows,MATERIALIZED_INDEX,2,v366/m366_process_window_pass3.db,v366_process_window_member,22128,0,0,1,0,0,0,materialized integration index,high,,,
v366_process_window,v36.6,process_window registry,blueprint_core,minimal work window for information/time/space/process under envelope/ledger,MATERIALIZED_INDEX,2,v366/m366_process_window_pass3.db,v366_process_window_registry,1633,0,0,1,0,0,0,post-hoc materialized index from existing data,high,not yet native writer output for all modules,future native full-chain skeleton,
v366_upper_empirical,v36.6 empirical,upper-layer empirical analysis,test_operability_surface,answers what upper layer recognizes/separates from existing data,MATERIALIZED_INDEX,2,m366_upper_layer_empirical.db,empirical_trajectory_toprxin_profile,532,0,0,1,0,1,0,"analysis database, not core writer",high,,,
full_chain_toprxin_profile,v36.6 materialized,T/O/P/R/Xin empirical profile,materialized_full_chain_data,queryable profile of trajectory status and role split,MATERIALIZED_INDEX,2,m366_upper_layer_empirical.db,empirical_trajectory_toprxin_profile,532,0,0,1,0,0,0,materialized from v25 profile,high,,,
v366_external_module_sync,v36.6 pass9,external module offline sync index,external_module/test_surface,read-only sync contract for external readout modules,MATERIALIZED_INDEX,2,v366/m366_build_pass9.db,pass9_external_module_sync_index,0,0,0,1,1,1,0,operability/index layer,high,,,
